condition,display_type,hdd_type,os,cpu_line,cpu_cores,cpu_speed,ram_size,ram_type,ram_speed,hdd_size,display_surface,display_resolution,gfx_type,weight,battery_capacity
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,,256 GB,błyszcząca,1920 x 1080,,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,3,3.8 GHz,8 GB,DDR4,2400,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.56 kg,
Używany,TN,SSD + HDD,Windows 7 Professional 64-bit,Intel Core i7,4,3.8 GHz,32 GB,DDR3L,,1256 GB,matowa,1920 x 1080,NVIDIA Quadro K3100M,3.6 kg,97 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,6,4.8 GHz,32 GB,DDR4,2400,1024 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050 Ti Max-Q,1.8 kg,56 Wh
Używany,TN,HDD,Windows 7 Professional 64-bit,AMD A8,4,3.1 GHz,4 GB,DDR3,,320 GB,matowa,1366 x 768,,,
Nowy,TN,eMMC,Windows 10 Home,Intel Celeron,2,2.4 GHz,2 GB,DDR3,1600,32 GB,błyszcząca,1366 x 768,Intel HD Graphics 500,1.35 kg,
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,8 GB,,,1120 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,,1250 GB,matowa,1920 x 1080,,,
Używany,TN,SSD,Windows 10 Professional,AMD A8,4,3.1 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.5 GHz,16 GB,DDR4,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce 940M,,
Używany,TN,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3 GHz,8 GB,DDR3L,,256 GB,matowa,1366 x 768,Intel HD Graphics 4400,1.68 kg,47 Wh
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,2,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.67 kg,42 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,2.06 kg,55.8 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i7,4,,8 GB,DDR4,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Używany,,SSD,Windows 10 Home,Intel Core i5,2,,8 GB,DDR3,,256 GB,matowa,1366 x 768,,3 kg,
Nowy,IPS,HDD,brak systemu,Intel Core i7,6,4.1 GHz,8 GB,DDR4,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.96 kg,4940 mAh
Nowy,,SSD,Windows 10 Professional,Intel Core i7,4,4 GHz,16 GB,DDR3,1866,512 GB,błyszcząca,3200 x 1800,,,
Używany,,SSD,Windows 8.1 Professional 64-bit,Intel Core i7,4,,16 GB,,,240 GB,matowa,1920 x 1080,,,
Używany,TN,HDD,"Windows 7 Professional 64-bit, Windows 7 Professional 32-bit",Intel Core i5,2,3.2 GHz,4 GB,DDR3,,320 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,2,3.3 GHz,8 GB,DDR3,1866,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 615,1.24 kg,46 Wh
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,,1024 GB,błyszcząca,3840 x 2160,,,
Nowy,,SSD,brak systemu,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,1.53 kg,3727 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,2400,512 GB,błyszcząca,3840 x 2160,NVIDIA GeForce GT 940MX,2 kg,3500 mAh
Odnowiony przez producenta,IPS,SSD,Windows 10 Professional,Intel Core i5,2,3.1 GHz,8 GB,DDR3L,,256 GB,błyszcząca,1920 x 1280,,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,2,3.4 GHz,8 GB,DDR4,2133,512 GB,matowa,1920 x 1080,Intel HD Graphics 520,1.18 kg,60 Wh
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i7,4,3.7 GHz,16 GB,DDR3L,,1000 GB,matowa,1920 x 1080,NVIDIA Quadro K3100M,3.6 kg,
Używany,,HDD,Windows 10 Professional,Intel Core i7,4,3.1 GHz,8 GB,DDR3,,1000 GB,błyszcząca,1366 x 768,,,
Nowy,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.56 GHz,4 GB,DDR3,1600,500 GB,błyszcząca,1366 x 768,,,
Nowy,TN,SSD,Windows 10 Home,Intel Core i7,4,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,2.18 kg,42 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,4,4 GHz,8 GB,DDR4,2666,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.95 kg,56 Wh
Nowy,,eMMC,Windows 10 Home,Inny procesor,4,1.9 GHz,4 GB,DDR3,,32 GB,błyszcząca,1920 x 1080,,1 kg,8000 mAh
Używany,TN,SSD,"Windows 10 Professional, Windows 7 Professional 64-bit, Windows 10 Home",Intel Core i5,2,3.3 GHz,16 GB,DDR3,,240 GB,matowa,1920 x 1080,Intel HD Graphics 4400,3 kg,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.9 GHz,16 GB,DDR4,2400,1128 GB,matowa,3840 x 2160,NVIDIA GeForce GTX 1080,4.42 kg,99 Wh
Nowy,,eMMC + HDD,Windows 10 Home,Intel Celeron Dual-Core,2,2.4 GHz,4 GB,DDR3,1600,532 GB,matowa,1920 x 1080,Intel HD Graphics 500,1.99 kg,10000 mAh
Używany,IPS,SSD,"Windows 8.1 Professional 64-bit, Windows 10 Professional",Intel Core i7,2,3.3 GHz,4 GB,DDR3L,,240 GB,matowa,1920 x 1080,Intel HD Graphics 4400,1.7 kg,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,2400,512 GB,błyszcząca,1920 x 1080,NVIDIA GeForce MX150,2.9 kg,55 mAh
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,DDR3,,250 GB,matowa,1600 x 900,,,
Nowy,,HDD,Windows 10 Home,Intel Celeron Dual-Core,2,1.5 GHz,4 GB,DDR3,1600,500 GB,matowa,1366 x 768,Intel HD Graphics 400,3 kg,
Używany,IPS,SSD,Windows 10 Professional,Intel Core i7,2,3.2 GHz,8 GB,DDR3L,1600,512 GB,matowa,1920 x 1080,Intel HD Graphics 5500,,
Używany,,HDD,Windows 8.1 Professional 64-bit,Intel Core i7,2,,4 GB,DDR3,,320 GB,matowa,1920 x 1080,,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3.5 GHz,8 GB,DDR3,,240 GB,matowa,1920 x 1080,,,
Nowy,TN,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.4 GHz,16 GB,DDR4,2400,2256 GB,matowa,1920 x 1080,,2.18 kg,42 Wh
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,DDR3,,500 GB,matowa,1600 x 900,,,
Używany,,SSD,Windows 8.1 Professional 64-bit,Intel Core i5,2,2.9 GHz,4 GB,DDR3,,128 GB,matowa,1366 x 768,,,
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i3,2,,4 GB,DDR3,,160 GB,antyrefleksyjna,1280 x 800,,,
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,NVIDIA GeForce GTX 1050,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,4,4 GHz,16 GB,DDR3,1866,512 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.21 kg,52 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,1.63 kg,41 Wh
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i5,2,3.2 GHz,8 GB,DDR3,,120 GB,matowa,1366 x 768,Intel HD Graphics 3000,2.2 kg,
Nowy,,SSD,Windows 10 Professional,Intel Core i7,4,4 GHz,16 GB,,,512 GB,błyszcząca,Inna,NVIDIA GeForce MX150,1.33 kg,
Nowy,IPS,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.7 GHz,4 GB,DDR4,2400,500 GB,błyszcząca,1366 x 768,,1.3 kg,3640 mAh
Nowy,,SSD,Windows 10 Professional,Intel Core i7,6,4.1 GHz,16 GB,DDR4,,512 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,1.83 kg,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,4,4.2 GHz,16 GB,DDR4,2400,512 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.4 kg,60 Wh
Używany,TN,HDD,"Windows 7 Professional 32-bit, Windows 7 Professional 64-bit",Intel Core i5,2,3.3 GHz,4 GB,DDR3,,320 GB,matowa,1366 x 768,,,
Nowy,,SSD,Windows 10 Home,Intel Core i3,2,2.7 GHz,4 GB,DDR4,2133,128 GB,błyszcząca,1366 x 768,Intel HD Graphics 620,,
Nowy,IPS,SSD,Windows 10 Home,Intel Pentium Dual-Core,2,,4 GB,DDR3,1600,128 GB,błyszcząca,1920 x 1080,,2.2 kg,30 Wh
Nowy,,SSD,Windows 10 Home,Intel Core i5,3,4 GHz,8 GB,DDR4,2400,2000 GB,matowa,1920 x 1080,,2.2 kg,
Nowy,,SSD,Windows 10 Home,Intel Core i7,6,4.1 GHz,32 GB,DDR4,2400,1024 GB,błyszcząca,3840 x 2160,NVIDIA GeForce GTX 1050Ti,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060 Max-Q,2.61 kg,
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,8 GB,,,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,,
Odnowiony przez producenta,IPS,SSD,Windows 8.1 Professional 64-bit,Intel Core i5,2,2.9 GHz,8 GB,DDR4,,256 GB,matowa,1920 x 1080,Intel HD Graphics 5500,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,512 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050 Ti Max-Q,1.8 kg,97 Wh
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i7,4,,16 GB,DDR3,,240 GB,matowa,1920 x 1080,,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,4 GHz,12 GB,DDR4,,1000 GB,błyszcząca,1920 x 1080,,,42 Wh
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR3,2133,512 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,1.27 kg,4335 mAh
Nowy,,Brak,Mac OS,Inny procesor,nie dotyczy,,brak,,,0 GB,błyszcząca antyrefleksyjna,Inna,,,
Nowy,,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.7 GHz,8 GB,DDR4,2400,256 GB,matowa,1366 x 768,,,
Używany,IPS,SSD,Windows 10 Professional,Intel Core i5,2,2.7 GHz,4 GB,DDR3,1600,128 GB,błyszcząca,1920 x 1080,Intel HD Graphics 4000,1.3 kg,
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Home, Windows 10 Professional",Intel Core i5,2,3.2 GHz,8 GB,DDR3,,120 GB,matowa,1366 x 768,Intel HD Graphics 4400,2.2 kg,
Nowy,,SSD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,512 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,,1256 GB,błyszcząca,1920 x 1080,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,,,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,,50 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i5,4,,8 GB,,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,2.2 kg,
Używany,TN,HDD,"Windows 10 Professional, Windows 8.1 Professional 64-bit, Windows 7 Home 64-bit",Intel Core i5,2,3.3 GHz,8 GB,DDR3,,500 GB,matowa,1366 x 768,Intel HD Graphics 4600,2.6 kg,
Odnowiony przez sprzedawcę,TN,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,DDR3,,320 GB,matowa,1366 x 768,,1.8 kg,
Nowy,,SSD,Windows 10 Professional,Intel Core i7,4,4 GHz,16 GB,,,1000 GB,matowa,2560 x 1440,,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,4,3.6 GHz,8 GB,DDR3,1866,512 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,1.42 kg,45 Wh
Nowy,,HDD,Windows 10 Home,Intel Celeron,2,2.6 GHz,4 GB,DDR4,2400,500 GB,matowa,1920 x 1080,,2 kg,3070 mAh
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,2,3.5 GHz,8 GB,DDR4,2133,128 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.36 kg,60 Wh
Nowy,,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3,,120 GB,błyszcząca,1366 x 768,,,
Nowy,TN,HDD,brak systemu,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3,1600,500 GB,matowa,1366 x 768,Intel HD Graphics 505,2 kg,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,2.3 kg,3500 mAh
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.2 GHz,16 GB,DDR4,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 950M,,45 Wh
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i7,2,3.6 GHz,4 GB,DDR3L,,320 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,2.65 kg,56 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,,1000 GB,matowa,1600 x 900,,,
Używany,TN,SSD,Windows 10 Professional,Intel Core i5,2,3.3 GHz,8 GB,,,240 GB,matowa,1366 x 768,Intel HD Graphics 3000,2 kg,
Nowy,TN,SSD,Windows 10 Home,Intel Core i7,2,3.5 GHz,8 GB,DDR4,2133,240 GB,matowa,1920 x 1080,NVIDIA GeForce GT 940M,2.3 kg,
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,DDR3,,320 GB,antyrefleksyjna,1366 x 768,,,
Nowy,,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.56 GHz,4 GB,DDR3,1600,240 GB,błyszcząca,1366 x 768,,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3.2 GHz,8 GB,DDR3,,240 GB,matowa,1920 x 1080,,,
Nowy,,eMMC,Windows 10 Home,Intel Celeron Quad Core,4,2.25 GHz,4 GB,DDR3,1600,64 GB,błyszcząca,1920 x 1080,Intel HD Graphics 400,,
Używany,,HDD,Windows 10 Home,Intel Core 2 Duo,2,,4 GB,,,320 GB,matowa,Inna,,3 kg,
Używany,,HDD,brak systemu,Intel Core i5,2,2.9 GHz,4 GB,DDR3,,500 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,500 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,3.1 kg,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,2,3.4 GHz,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,Intel HD Graphics 520,1.18 kg,60 Wh
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i7,4,3.8 GHz,8 GB,DDR3L,,500 GB,matowa,1920 x 1080,NVIDIA Quadro K3100M,3.6 kg,97 Wh
Powystawowy,,SSD,Windows 10 Home,AMD A6,4,2.4 GHz,8 GB,DDR3L,,120 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,4,4.2 GHz,16 GB,DDR4,2400,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.19 kg,42 Wh
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,DDR3,,240 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,2.96 kg,3220 mAh
Nowy,TN,SSD,Windows 10 Home,Intel Core i3,2,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.55 kg,3727 mAh
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,16 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,NVIDIA GeForce MX150,,
Nowy,TN,HDD,Windows 10 Home,Intel Core i7,2,3.5 GHz,8 GB,DDR4,2133,1000 GB,matowa,1920 x 1080,AMD Radeon R7 M445,3.1 kg,3500 mAh
Używany,,HDD,"Windows 7 Professional 64-bit, Windows 8.1 Professional 64-bit",Intel Core i5,2,,4 GB,,,320 GB,matowa,1366 x 768,,,
Nowy,,HDD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,2400,1000 GB,antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 950M,2.2 kg,61.5 Wh
Nowy,,SSD,Windows 10 Professional,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,512 GB,błyszcząca antyrefleksyjna,3840 x 2160,NVIDIA GeForce GTX 1050Ti,,
Nowy,,HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,NVIDIA GeForce MX130,2.22 kg,3653 mAh
Odnowiony przez producenta,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3,1866,500 GB,matowa,1366 x 768,Intel HD Graphics 505,,
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Home, Windows 10 Professional",Intel Core i5,2,3.2 GHz,4 GB,DDR3,,120 GB,matowa,1366 x 768,Intel HD Graphics 3000,1.5 kg,
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,DDR3,,500 GB,matowa,1366 x 768,,,
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4.1 GHz,16 GB,DDR4,2400,512 GB,antyrefleksyjna,1920 x 1080,,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,DDR3,,240 GB,matowa,1600 x 900,,,
Nowy,TN,SSD,brak systemu,Intel Core i3,2,3.4 GHz,4 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.55 kg,3727 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,,256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,TN,HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,,1.62 kg,3727 mAh
Odnowiony przez producenta,,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,2,3.5 GHz,16 GB,DDR4,,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,,60 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,2,3.1 GHz,4 GB,DDR3,1600,256 GB,matowa,1920 x 1080,Intel HD Graphics 520,1.1 kg,8800 mAh
Nowy,,SSD,Windows 10 Home,Intel Core i5,2,3.1 GHz,6 GB,DDR4,2133,256 GB,matowa,1920 x 1080,AMD Radeon R5 M430,1.96 kg,41 Wh
Nowy,TN,HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,8 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.7 kg,74 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4.1 GHz,16 GB,DDR4,2400,512 GB,błyszcząca,3840 x 2160,,2.09 kg,84 Wh
Nowy,TN,SSD + HDD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,2133,1128 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,2.33 kg,42 Wh
Nowy,,SSD + HDD,Windows 10 Home,AMD A12,4,3.6 GHz,8 GB,DDR4,2133,1128 GB,matowa,1920 x 1080,,2.1 kg,41 Wh
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,4,3.6 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.4 kg,60 Wh
Nowy,,HDD,Windows 10 Home,AMD A9,2,3.6 GHz,8 GB,DDR4,2400,1000 GB,błyszcząca,1366 x 768,,2.1 kg,41 Wh
Nowy,TN,SSD,brak systemu,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX130,1.95 kg,
Używany,TN,SSD,"Windows 10 Professional, Windows 7 Professional 32-bit, Windows 10 Home",Intel Core i5,2,2.6 GHz,16 GB,DDR3,,256 GB,matowa,1920 x 1080,Intel HD Graphics 4400,1.8 kg,
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,,8 GB,DDR3,1866,256 GB,matowa,1920 x 1080,,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,,,240 GB,matowa,1600 x 900,,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,4,4 GHz,8 GB,DDR4,,1016 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.7 kg,
Używany,,HDD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i3,2,,4 GB,,,500 GB,matowa,1280 x 800,,,
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,,512 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,32 GB,DDR4,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1070,2.85 kg,4940 mAh
Używany,,SSD,Windows 10 Professional,Intel Core i5,2,3.4 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3.3 GHz,8 GB,DDR3,,240 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,4,3.4 GHz,8 GB,DDR3,,128 GB,błyszcząca,1920 x 1080,,,
Nowy,IPS,SSD,Windows 10 Home,AMD A6,2,3 GHz,8 GB,DDR4,1866,256 GB,antyrefleksyjna,1920 x 1080,,1.46 kg,41 mAh
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR3,2133,512 GB,matowa,1920 x 1080,,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,,,240 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,2400,512 GB,błyszcząca,1920 x 1080,NVIDIA GeForce GT 940MX,2 kg,3500 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,2133,128 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,1.63 kg,41 Wh
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,3 GHz,8 GB,DDR3L,,499 GB,matowa,1600 x 900,Intel HD Graphics 4400,1.78 kg,90 Wh
Odnowiony przez producenta,,SSD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,,
Odnowiony przez producenta,,HDD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR4,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,,41 Wh
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,3.5 GHz,16 GB,DDR4,,512 GB,błyszcząca,1920 x 1080,NVIDIA GeForce GT 940MX,,
Używany,,SSD,"Windows 10 Home, Windows 10 Professional",Intel Core i5,2,2.9 GHz,8 GB,DDR3L,,120 GB,matowa,1366 x 768,,,
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i7,2,2.93 GHz,4 GB,DDR3,,160 GB,matowa,1280 x 800,,,
Nowy,IPS,HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,8 GB,DDR4,2666,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,2.57 kg,3220 mAh
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,512 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.05 kg,97 Wh
Powystawowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Używany,TN,SSD,"Windows 10 Professional, Windows 8.1 Professional 64-bit, Windows 7 Home 64-bit",Intel Core i5,2,2.9 GHz,8 GB,DDR3,,256 GB,matowa,1366 x 768,Intel HD Graphics 5500,1.4 kg,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,3.8 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.05 kg,56 Wh
Odnowiony przez producenta,,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,8 GB,DDR4,2133,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR4,2400,1120 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.4 kg,45 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,1128 GB,antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.62 kg,70 Wh
Nowy,,SSD,Windows 10 Professional,Intel Core i7,6,4.2 GHz,16 GB,DDR3,2133,512 GB,błyszcząca,1920 x 1080,Intel UHD Graphics 630,,
Nowy,TN,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.4 GHz,16 GB,DDR4,2400,2256 GB,matowa,1920 x 1080,,2.18 kg,42 Wh
